# IPPâ€™s hydropower projects under construction as of FY 2076/77,,,,,,
S.N.,Developers,Projects,Location,Installed Capacity (kW),PPA Date,Required Commercial Operation Date
1,Upper Tamakoshi Hydropower Ltd.,Upper Tamakoshi,Dolkha,456000,2067.09.14,"2072.9.10 - 4 Units, 2073.3.30 - 2 Units"
2,Nama Buddha Hydropower Pvt. Ltd.,Tinau Khola Small,Palpa,1665,2065.03.31,2066.11.1 (for 990kw) 2077.09.15 (for 675kw)
3,Himalayan Hydropower Pvt. Ltd.,Namarjun Madi,Kaski,11880,2066.05.30,2071.4.1
4,Jumdi Hydropower Pvt. Ltd.,Jumdi Khola,Gulmi,1750,2066.10.21,2069.10.11
5,Hira Ratna Hydropower P.ltd,Tadi Khola,Nuwakot,5000,2067.01.09,2075.10.01
6,Energy Engineering Pvt. Ltd.,Upper Mailung A,Rasuwa,6420,2067.03.25,2075.10.01
7,Shiva Shree Hydropower (P.) Ltd.,Upper Chaku A,Sindhupalchowk,22200,2067.05.22,2073.01.25
8,Greenlife Energy Pvt. Ltd.,Khani khola-1,Dolakha,40000,2067.06.24,2074.12.17 (for 25MW)2076.09.03 (for 15MW)
9,Himalaya Urja Bikas Co. Pvt. Ltd.,Upper Khimti,Ramechhap,12000,2067.10.09,2075.3.32
10,Green Ventures Pvt. Ltd.,Likhu-IV,Ramechhap,52400,2067.10.19,2077.06.30
11,Robust Energy Ltd.,Mistri Khola,Myagdi,42000,2067.10.20,2076.05.14
12,Manang Trade Link Pvt. Ltd.,Lower Modi,Parbat,20000,2068.05.20,2074.3.31
13,Mathillo Mailung Khola Jalbidhyut Ltd. (Prv. Molnia Power Ltd.),Upper Mailun,Rasuwa,14300,2068.05.23,2075.10.01
14,Sanjen Hydropower Co.Limited,Upper Sanjen,Rasuwa,14800,2068.06.23,2076.09.15
15,Middle Bhotekoshi Jalbidhyut Company Ltd.,Middle Bhotekoshi,Sindhupalchowk,102000,2068.07.28,2076.12.28
16,Chilime Hydro Power Company Ltd.,Rasuwagadhi,Rasuwa,111000,2068.07.28,2076.09.15
17,Water and Energy Nepal Pvt. Ltd.,Badi Gad,Baglung,6600,2068.08.13,2072.2.14
18,Sanjen Hydropower Company Limited,Sanjen,Rasuwa,42500,2068.08.19,2076.09.15
19,Gelun Hydropower Co.Pvt.Ltd,Gelun,Sindhupalchowk,3200,2068.09.25,2074.06.14
20,Dariyal Small Hydropower Pvt.Ltd,Upper Belkhu,Dhading,750,2068.11.28,2071.7.16
21,Suryakunda Hydroelectric Pvt. Ltd.,Upper Tadi,Nuwakot,11000,2068.12.03,2075.10.01
22,Himalayan Power Partner Pvt. Ltd.,Dordi Khola,Lamjung,27000,2069.03.01,2076.05.14
23,Sasha Engingeering Hydropower (P). Ltd,Khani Khola(Dolakha),Dolakha,30000,2069.03.25,2074.12.17
24,Rising Hydropower Compnay Ltd.,Selang Khola,Sindhupalchowk,990,2069.03.31,2071.6.15
25,Liberty Hydropower Pvt. Ltd.,Upper Dordi A,Lamjung,25000,2069.06.02,2076.05.14
26,Hydro Innovation Pvt. Ltd.,Tinekhu Khola,Dolakha,990,2069.06.08,2074.12.30
27,Salankhu Khola Hydropower Pvt. Ltd.,Salankhu Khola,Nuwakot,2500,2069.06.14,2071.11.30
28,Moonlight Hydropower Pvt. Ltd.,Balephi A,Sindhupalchowk,10600,2069.07.14,2076.12.28
29,Middle Modi Hydropower Ltd.,Middle Modi,Parbat,15100,2069.08.21,2077.03.31
30,Reliable Hydropower Co. Pvt. Ltd.,Khorunga Khola,Terhathum,4800,2069.08.26,2077.08.16
31,Rara Hydropower Development Co. Pvt. Ltd.,Upper Parajuli Khola,Dailekh,2150,2069.08.28,2071.12.17
32,Lohore Khola Hydropower Co. Pvt. Ltd.,Lohore Khola,Dailekh,4200,2069.09.08,2073.06.20
33,Beni Hydropower Project Pvt. Ltd.,Upper Solu,Solukhumbu,18000,2069.09.16 2073.07.25 (PPA Revived),2074.10.01
34,Dudhkoshi Power Company Pvt. Ltd.,Rawa Khola,Khotang,6500,2069.09.26,2073.05.31
35,Universal Power Company Ltd.,Lower Khare,Dolakha,11000,2069.10.22,2074.9.16 (8.26MW); 2076.04.03 (2.74MW)
36,Madhya Midim Jalbidhyut Company P. Ltd.,Middle Midim,Lamjung,3100,2069.10.23,2072.5.1
37,Volcano Hydropower Pvt. Ltd.,Teliya Khola,Dhankuta,996,2069.10.25,2071.7.24
38,Betrawoti Hydropower Company (P).Ltd,Phalankhu Khola,Rasuwa,13700,2069.12.06,2075.10.01
39,Himalaya Urja Bikas Co. Ltd.,Upper Khimti II,Ramechhap,7000,2069.12.09,2075.12.01
40,Dovan Hydropower Company Pvt. Ltd.,Junbesi Khola,Solukhumbu,5200,2069.12.29,2076.08.30
41,Tallo Midim Jalbidhut Company Pvt. Ltd.,Lower Midim,Lamjung,996,2070.01.19,2071.8.1
42,Tangchhar Hydro Pvt. Ltd,Tangchhahara,Mustang,2200,2070.02.20,2073.7.1
43,Abiral Hydropower Co. Pvt. Ltd.,Upper Khadam,Morang,990,2070.02.21,2071.08.01
44,Manakamana Engineering Hydropower Pvt. Ltd.,Ghatte Khola,Dolakha,5000,2070.04.28,2075.03.16
45,Essel-Clean Solu Hydropower Pvt. Ltd.,Lower Solu,Solukhumbu,82000,2070.07.15,2076.8.30
46,Consortium Power Developers Pvt. Ltd.,Khare Khola,Dolakha,24100,2070.07.15,2075.08.15
47,Singati Hydro Energy Pvt. Ltd.,Singati Khola,Dolakha,25000,2070.07.27,2075.05.31 (16MW); 2077.04.01 (9MW)
48,Maya Khola Hydropower Co. Pvt. Ltd.,Maya Khola,Sankhuwasabha,14900,2070.08.30,2076.9.1
49,Idi Hydropower Co. P. Ltd.,Idi Khola,Kaski,975,2070.09.01,2074.09.16
50,Buddha Bhumi Nepal Hydro Power Co. Pvt. Ltd.,Lower Tadi,Nuwakot,4993,2070.12.10,2075.10.01
51,Dordi Khola Jal Bidyut Company Ltd.,Dordi-1 Khola,Lamjung,12000,2071.07.19 (10.3 MW) 2073.04.19; 2075.11.21 (1.7 MW),2076.08.16 (10.3 MW); 2077.04.02 (1.7 MW)
52,River Falls Hydropower Development Pvt. Ltd.,Down Piluwa,Sankhuwasabha,9500,2071.10.18,2076.09.01
53,Peoples' Hydropower Company Pvt. Ltd.,Super Dordi 'Kha',Lamjung,54000,2071.11.13; 2075.11.15,2077.03.29
54,Hydro Venture Private Limited,Solu Khola (Dudhkoshi),Solukhumbu,86000,2071.11.13,2077.06.10
55,Global Hydropower Associate Pvt. Ltd.,Likhu-2,Solukhumbu/ Ramechap,33400,2071.11.19,2077.04.01
56,Paan Himalaya Energy Private Limited,Likhu-1,Solukhumbu/ Ramechap,51400,2071.11.19,2077.04.01
57,Numbur Himalaya Hydropower Pvt. Ltd.,Likhu Khola A,Solukhumbu/ Ramechap,24200,2071.11.22,2077.04.01
58,Dipsabha Hydropower Pvt. Ltd.,Sabha Khola A,Sankhuwasabha,9990,2071.12.02,2076.07.15
59,Research and Development Group Pvt. Ltd.,Rupse Khola,Myagdi,4000,2071.12.17,2076.08.02
60,Hydro Empire Pvt. Ltd.,Upper Myagdi,Myagdi,20000,2071.12.17,2077.05.30
61,Chandeshwori Mahadev Khola MH. Co. Pvt. Ltd.,Chulepu Khola,Ramechhap,8520,2071.12.23,2075.04.15
62,Nyadi Hydropower Limited,Nyadi,Lamjung,30000,2072.02.12,2077.01.06
63,Suri Khola Hydropower Pvt. Ltd.,Suri Khola,Dolakha,6400,2072.02.20,2074.12.30
64,Bungal Hydro Pvt. Ltd. (Previously Sanigad Hydro Pvt. Ltd.),Upper Sanigad,Bajhang,10700,2072.03.15,2076.05.29
65,Kalanga Hydro Pvt. Ltd.,Kalangagad,Bajhang,15330,2072.03.15,2076.05.29
66,Sanigad Hydro Pvt. Ltd.,Upper Kalangagad,Bajhang,38460,2072.03.15,2077.04.15
67,Dhaulagiri Kalika Hydro Pvt. Ltd.,Darbang-Myagdi,Myagdi,25000,2072.04.28,2075.12.25
68,Menchhiyam Hydropower Pvt. Ltd.,Upper Piluwa Khola 2,Sankhuwasabha,4720,2072.05.11,2076.04.01
69,Kabeli Energy Limited,Kabeli-A,Panchthar and Taplejung,37600,2072.06.07,2076.11.03
70,Upper Syange Hydropower P. Ltd.,Upper Syange Khola,Lamjung,2400,2072.06.14,2075.10.01
71,Peoples Energy Ltd. (Previously Peoples Hydro Co-operative Ltd.),Khimti-2,Dolakha and Ramechhap,48800,2072.06.14,2078.04.01
72,Chauri Hydropower (P.) Ltd.,Chauri Khola,"Kavrepalanchowk, Ramechhap, Sindhupalchowk, Dolakha",6000,2072.06.14 (5 MW); 2076.01.06 (1 MW),2075.12.30 (5 MW); 2078.08.03 (1 MW)
73,Huaning Development Pvt. Ltd.,Upper Balephi A,Sindhupalchowk,36000,2072.08.29,2075.10.06
74,Upper Hewa Khola Hydropower Co. Pvt. Ltd.,Upper Hewa Khola Small,Sankhuwasabha,8500,2072.09.23,2076.03.17
75,Multi Energy Development Pvt. Ltd.,Langtang Khola,Rasuwa,20000,2072.09.29,2076.12.30 (10MW); 2078.04.03 (10MW)
76,Ankhu Hydropower (P.) Ltd.,Ankhu Khola,Dhading,34000,2073.01.30,2076.12.30
77,Myagdi Hydropower Pvt. Ltd.,Ghar Khola,Myagdi,14000,2073.02.11,2076.08.30 (8.3 MW); 2078.10.17 (5.7 MW)
78,Richet Jalbidhyut Company Pvt. Ltd.,Richet Khola,Gorkha,4980,2073.02.23,2075.07.30
79,Rapti Hydro and General Construction Pvt. Ltd.,Rukumgad,Rukum,5000,2073.03.07,2076.09.01
80,Rawa Energy Development Pvt. Ltd.,Upper Rawa,Khotang,3000,2073.04.24,2076.03.30
81,Siddhi Hydropower Company Pvt. Ltd.,Siddhi Khola,Illam,10000,2074.05.29,2077.03.31
82,Nilgiri Khola Hydropower Co. Ltd.,Nilgiri Khola,Myagdi,38000,2073.11.30,2080.08.30
83,Siuri Nyadi Power Pvt. Ltd.,Super Nyadi,Lamjung,40270,2074.02.19,2079.04.01
84,Swet-Ganga Hydropower and Construction Ltd.,Lower Likhu,Ramechhap,28100,2073.09.14,2078.08.15
85,Nilgiri Khola Hydropower Co. Ltd.,Nilgiri Khola-2,Myagdi,62000,2074.03.05,2081.08.30
86,Sano Milti Khola Hydropower Ltd.,Sano Milti,Ramechhap and Dolakha,3000,2073.01.13,2075.08.01
87,Diamond Hydropower Pvt. Ltd.,Upper Daraudi-1,Gorkha,10000,2072.08.14,2075.09.17
88,Chhyangdi Hydropower Limited,Upper Chhyangdi Khola,Lamjung,4000,2074.03.22,2078.4.05
89,Taksar-Pikhuwa Hydropower Pvt. Ltd.,Taksar Pikhuwa,Bhojpur,8000,2073.09.01,2076.10.23
90,Rasuwa Hydropower Pvt. Ltd,Phalanku Khola,Rasuwa,5000,2071.08.24,2076.8.01
91,Civil Hydropower Pvt. Ltd.,Bijayapur 2 Khola Small,Kaski,4500,2072.09.12,2075.03.32
92,Makari Gad Hydropower Pvt. Ltd.,Makarigad,Darchula,10000,2072.08.29,2076.02.32
93,Super Madi Hydropower Ltd. (Previously Himal Hydro and General Construction Ltd.),Super Madi,Kaski,44000,2073.10.27,2078.02.28
94,Mount Nilgiri Hydropower Company Pvt. Ltd.,Rurubanchu-1,Kalikot,13500,2074.05.08,2077.11.03
95,Trishuli Jal Vidhyut Company Ltd.,Upper Trishuli 3B,Rasuwa,37000,2074.05.06,2078.11.17
96,Century Energy Pvt. Ltd.,Hadi Khola Sunkoshi A,Sindhupalchowk,997,2074.05.05,2076.11.03
97,Sindhujwala Hydropower Ltd.,Upper Nyasem,Sindhupalchowk,41400,2073.07.24,2077.03.30
98,Samling Power Company Pvt. Ltd.,Mai Beni,Illam,9510,2073.07.26,2078.08.02
99,Energy Venture Pvt. Ltd.,Upper Lapche,Dolakha,52000,2073.04.20,2078.12.30
100,Orbit Energy Pvt. Ltd. (Previously Pokhari Hydropower Company Pvt. Ltd.),Sabha Khola B,Sankhuwasabha,15100,2074.03.26,2078.2.31
101,Eco Power Development Company Pvt. Ltd,Mithila Solar PV Electric Project,Dhanusha,10000,2075.09.16,2076.01.17
102,Daram Khola Hydro Energy Ltd.,Daram Khola,Baglung and Gulmi,9600,2073.10.09,2076.09.08
103,Sagarmatha Energy and Construction Pvt. Ltd.,Dhalkebar Solar Project,Dhanusha,3000,2075.06.24,2076.12.23
104,Gorkha Congenial Energy and Investment Pvt. Ltd.,Lamahi Solar Project,Dang,3000,2075.06.24,2076.12.23
105,Global Energy and Construction Pvt. Ltd.,Duhabi Solar Project,Sunsari,8000,2075.06.25,2076.12.24
106,Ridi Hydropower Development Co. Ltd.,Butwal Solar Project,Rupandehi,8500,2075.06.09,2076.04.08
107,Him River Power Pvt. Ltd.,Liping Khola,Sindhupalchowk,16260,2073.02.28,2077.01.22
108,Madhya Tara Khola Hydropower P. Ltd. (Prv. Pahadi Hydro Power Company (P.) Ltd.),Madhya Tara Khola Small,Baglung,1700,2073.10.26,2075.08.29
109,Nepal Water and Energy Development Company Pvt. Ltd.,Upper Trishuli - 1,Rasuwa,216000,2074.10.14,2080.12.18
110,Mewa Developers Pvt. Ltd.,Middle Mewa,Taplejung,49000,2075.05.04,2080.06.06
111,Solar Farm Pvt. Ltd.,Belchautara Solar Project,Tanahun,5000,2075.04.23,2076.04.03
112,Him Star Urja Co. Pvt. Ltd.,Buku Kapati,Okhaldhunga and Solukhumbu,5000,2074.10.11,2077.04.15
113,Aashutosh Energy Pvt. Ltd.,Chepe Khola Small,Lamjung,8630,2075.02.15,2078.11.09
114,Everest Sugar and Chemical Industries Ltd.,Everest Sugar and Chemical Industries Ltd.,Mahottari,3000,2075.06.17,2076.12.30
115,Indushankar Chini Udhyog Ltd.,Indushankar Chini Udhyog Ltd.,Sarlahi,3000,2075.06.10,2076.12.09
116,Sanvi Energy Pvt. Ltd.,Jogmai Cascade,Illam,6000,2075.05.07,2078.04.07
117,Jhyamolongma Hydropower Development Company Pvt. Ltd.,Karuwa Seti,Kaski,32000,2074.04.20,2079.01.12
118,Nasa Hydropower Pvt. Ltd.,Lapche Khola,Dolakha,99400,2074.07.29,2079.04.14
119,Asian Hydropower Pvt. Ltd.,Lower Jogmai,Illam,6200,2074.12.07,2078.04.01
120,Sanima Middle Tamor Hydropower Ltd. (Prv. Tamor Sanima Energy Pvt. Ltd.),Middle Tamor,Taplejung,73000,2073.09.26,2078.05.28
121,Vision Energy and Power Pvt. Ltd.,Nupche Likhu,Ramechhap,57500,2074.11.28,2080.05.02
122,People's Power Limited,Puwa - 2,Illam,4960,2074.05.05,2078.06.11
123,Tundi Power Pvt.Ltd,Rahughat Mangale,Myagdi,35500,2075.03.29,2079.08.29
124,Him Consult Pvt. Ltd.,Rele Khola,Myagdi,6000,2074.01.28,2077.02.19
125,Parbat Paiyun Khola Hydropower Company Pvt. Ltd.,Seti Khola,Parbat,3500,2074.02.22,2076.12.30
126,Chirkhwa Hydropower Pvt. Ltd.,Upper Chirkhwa,Bhojpur,4700,2073.03.01,2077.04.01
127,Yambling Hydropower Pvt. Ltd.,Yambling Khola,Sindhupalchowk,7270,2072.09.29,2077.03.17
128,Gaurishankar Power Development Pvt. Ltd.,Middle Hyongu Khola B,Solukhumbu,22900,2074.12.08,2079.04.01
129,Upper Lohore Khola Hydropower Co. Pvt. Ltd.,Upper Lohore,Dailekh,4000,2074.12.08,2077.04.11
130,Unitech Hydropower Co. Pvt. Ltd.,Upper Phawa,Taplejung,5800,2074.11.11,2078.04.16
131,Omega Energy Developer Pvt. Ltd.,Sunigad,Bajhang,11050,2074.11.30,2080.02.07
