sn,Developer,Projects,Capacity (kW),PPA Date,Commercial Operation Date
1,Himal Power Ltd.,Khimti Khola,60000,2052.10.01,2057.03.27
2,Bhotekoshi Power Company Ltd.,Upper Bhotekoshi,45000,2053.04.06,2057.10.11
3,Syange Electricity Company Limited,Syange Khola,183,2058.10.03,2058.10.10
4,National Hydro Power Company Ltd.,Indrawati - III,7500,2054.09.15,2059.06.21
5,Chilime Hydro Power Company Ltd.,Chilime,22100,2054.03.11,2060.05.08
6,Butwal Power Company Ltd.,Jhimruk Khola,12000,2058.03.29,1994
7,Butwal Power Company Ltd.,Andhi Khola,9400,2058.03.29,2071.12.22
8,Arun Valley Hydropower Development Co. (P.) Ltd.,Piluwa Khola Small,3000,2056.10.09,2060.06.01
9,Rairang Hydro Power Development Co. (P) Ltd.,Rairang Khola,500,2059.08.27,2061.08.01
10,Sanima Hydropower (Pvt.) Ltd.,Sunkoshi Small,2500,2058.07.28,2061.12.11
11,Alliance Power Nepal Pvt.Ltd.,Chaku Khola,3000,2056.11.03,2062.03.01
12,Khudi Hydropower Ltd.,Khudi Khola,4000,2058.03.04,2063.09.15
13,Unique Hydel Co. Pvt.Ltd.,Baramchi Khola,4200,2058.12.14,2063.09.27
14,Thoppal Khola Hydro Power Co. Pvt. Ltd.,Thoppal Khola,1650,2059.11.23,2064.07.13
15,Gautam Buddha Hydropower (Pvt.) Ltd.,Sisne Khola Small,750,2061.04.29,2064.06.01
16,Kathmandu Small Hydropower Systems Pvt. Ltd.,Sali Nadi,250,2062.04.24,2064.08.01
17,Khoranga Khola Hydropower Dev. Co. Pvt. Ltd.,Pheme Khola,995,2057.12.31,2064.08.05
18,Unified Hydropower (P.) Ltd.,Pati Khola Small,996,2062.10.28,2065.10.27
19,Task Hydropower Company (P.) Ltd.,Seti-II,979,2063.06.08,2065.11.14
20,Ridi Hydropower Development Co. (P.) Ltd.,Ridi Khola,2400,2063.05.08,2066.07.10
21,Centre for Power Dev. And Services (P.) Ltd.,Upper Hadi Khola,991,2064.04.07,2066.07.22
22,Gandaki Hydro Power Co. Pvt. Ltd.,Mardi Khola,4800,2060.07.07,2066.10.08
23,Himal Dolkha Hydropower Company  Ltd.,Mai Khola,4500,2063.11.19,2067.10.14
24,Baneswor Hydropower Pvt. Ltd.,Lower Piluwa Small,990,2064.07.21,2068.04.01
25,Barun Hydropower Development Co. (P.) Ltd.,Hewa Khola,4455,2061.04.02,2068.04.17
26,Bhagawati Hydropower Development Co. (P.) Ltd.,Bijayapur-1,4410,2066.03.30,2069.05.04
27,Kathmandu Upatyaka Khanepani bewasthapan Board,Solar,680.4,2069.06.12,2069.07.15
28,Nyadi Group (P.) Ltd.,Siuri Khola,4950,2064.04.17,2069.07.30
29,United Modi Hydropwer Pvt. Ltd.,Lower Modi 1,10000,2065.10.20,2069.08.10
30,Synergy Power Development (P.) Ltd.,Sipring Khola,9658,2065.10.20,2069.10.03
31,Laughing Buddha Power Nepal (P.) Ltd.,Middle Chaku,1800,2066.11.03,2069.11.15
32,Aadishakti Power Dev. Company (P.) Ltd.,Tadi Khola (Thaprek),5000,2061.12.15,2069.12.14
33,Ankhu Khola Jal Bidhyut Co. (P.) Ltd.,Ankhu Khola - 1,8400,2066.02.22,2070.05.05
34,Nepal Hydro Developer Pvt. Ltd.,Charanawati Khola,3520,2067.01.13,2070.02.24
35,Laughing Buddha Power Nepal Pvt. Ltd.,Lower Chaku Khola,1800,2063.07.02,2070.04.24
36,Bhairabkunda Hydropower Pvt. Ltd.,Bhairab Kunda,3000,2065.08.02,2071.02.22
37,Radhi Bidyut Company Ltd.,Radhi Khola,4400,2066.10.18,2071.02.31
38,Pashupati Environmental Eng. Power Co. Pvt. Ltd.,Chhote Khola,993,2067.11.09,2071.03.09
39,Mailung Khola Hydro Power Company (P.) Ltd.,Mailung Khola,5000,2058.04.09,2071.03.19
40,Joshi Hydropower Development Company Limited,Upper Puwa -1,3000,2066.01.23,2071.10.01
41,Sanima Mai Hydropower Limited,Mai Khola,22000,2067.01.08,2071.10.14
42,Bojini Company Private Limited,Jiri Khola Small,2200,2065.10.23,2071.11.01
43,Ruru Hydropower Project (P) Ltd.,Upper Hugdi Khola,5000,2066.04.04,2071.12.09
44,Prime Hydropower Co. Pvt. Ltd.,Belkhu,518,2064.04.04,2071.12.30
45,Api Power Company Pvt. Ltd.,Naugadh gad Khola,8500,2067.01.19,2072.05.02
46,Kutheli Bukhari Small Hydropower (P).Ltd,Suspa Bukhari,998,2069.04.32,2072.06.03
47,Sanima Mai Hydropower Ltd.,Mai Cascade,7000,2069.10.12,2072.10.29
48,Chhyangdi Hydropower Limited,Chhandi,2000,2068.12.23,2072.12.13
49,Panchakanya Mai Hydropower Ltd. (Previously Mai Valley and prior to that East Nepal),Upper Mai Khola,9980,2061.12.19,2073.03.09
50,Sayapatri Hydropower Private Limited,Daram Khola A,2500,2068.12.19,2073.03.12
51,Electro-com and Research Centre Pvt. Ltd.,Jhyadi Khola,2000,2067.01.30,2073.05.31
52,Khani Khola Hydropower Company Pvt. Ltd.,Tungun-Thosne,4360,2069.04.05,2073.07.09
53,Daraudi Kalika Hydro Pvt. Ltd.,Daraudi Khola A,6000,2068.05.19,2073.08.13
54,Khani Khola Hydropower Company Pvt. Ltd.,Khani Khola,2000,2069.04.05,2073.08.20
55,Sapsu Kalika Hydropower Co. Pvt. Ltd.,Miya Khola,996,2069.08.10,2073.09.03
56,Sinohydro-Sagarmatha Power Company (P) Ltd.,"Upper Marsyangdi ""A""",50000,2067.09.14,2073.09.17
57,Madi Power Pvt. Ltd.,Upper Madi,25000,2066.05.21,2073.09.25
58,Panchthar Power Company Pvt. Ltd.,Hewa Khola A,14900,2068.05.30,2073.10.22
59,Sanvi Energy pvt. Ltd.,Jogmai,7600,2069.08.07,2074.01.18
60,Bhugol Energy Dev Compay (P). Ltd,Dwari Khola,3750,2069.12.30,2074.01.23
61,Mai Valley Hydropower Private Limited,Upper Mai C,5100,2068.12.23,2074.04.09
62,Dronanchal Hydropower Co.Pvt.Ltd,Dhunge-Jiri,600,2068.09.25,2074.06.01
63,Dibyaswari Hydropower Limited,Sabha Khola,4000,2068.11.17,2074.06.02
64,Puwa Khola-1 Hydropower P. Ltd.,Puwa Khola -1,4000,2070.10.09,2074.06.23
65,Shibani Hydropower Co. Pvt. Ltd.,Phawa Khola,4950,2063.12.01,2074.07.14
66,Mount Kailash Energy Pvt. Ltd.,Thapa Khola,13600,2067.10.11,2074.08.22
67,Mandakini Hydropower Limited,Sardi Khola,4000,2068.11.11,2074.08.23
68,Garjang Upatyaka Hydropower (P.) Ltd.,Chake Khola,2830,2065.11.06,2074.08.28
69,Union Hydropower Pvt Ltd.,Midim Karapu,3000,2069.10.28,2074.10.15
70,Syauri Bhumey Microhydro Project,Syauri Bhumey,23,2072.11.16,2074.10.18
71,Molung Hydropower Company Pvt. Ltd.,Molung Khola,7000,2069.11.21,2074.12.12
72,Sikles Hydropower Pvt. Ltd.,Madkyu Khola,13000,2066.08.03,2074.12.19
73,Himal Dolkha Hydropower Company  Ltd.,Mai sana Cascade,8000,2069.11.14,2074.12.26
74,Barahi Hydropower Pvt.ltd,Theule Khola,1500,2066.12.16,2075.03.24
75,Leguwa Khola Laghu Jalbidhyut Sahakari Sastha Ltd.,Leguwa Khola,40,2072.11.21,2075.03.28
76,Super Mai Hydropower Pvt. Ltd.,Super Mai,7800,2073.12.06,2075.07.11
77,Chimal Gramin Bidhyut Sahakari Sanstha Ltd.,Sobuwa Khola-2 MHP,90,2074.11.15,2075.07.14
78,Surya Power Company Pvt. Ltd.,Bishnu Priya Solar Farm Project,960,2074.04.08,2075.08.13
79,Deurali Bahuudesiya Sahakari Sanstha Ltd.,Midim Khola,100,2070.02.20,2075.09.04
80,Bindhyabasini Hydropower Development Co. (P.) Ltd.,Rudi Khola A,8800,2069.10.28,2075.12.04
81,Mandu Hydropower Ltd.,Bagmati Khola Small,22000,2069.10.07,2075.12.19
82,Eastern  Hydropower Pvt. Ltd.,Pikhuwa Khola,5000,2066.07.24,2076.02.27
83,Salmanidevi Hydropower (P). Ltd,Kapadi Gad,3330,2069.12.11,2076.02.25
84,Mountain Hydro Nepal Pvt. Ltd.,Tallo Hewa Khola,22100,2071.04.09/2075.10.16,2076.04.21
85,Pashupati Environmental Power Co. Pvt. Ltd.,Lower Chhote Khola,997,2072.08.04,2076.05.20
86,United Idi Mardi and R.B. Hydropower Pvt. Ltd.,Upper Mardi,7000,2073.02.25,2076.06.20
87,Rairang Hydropower Development Company Ltd.,Iwa Khola,9900,2070.01.29,2076.06.20
88,Api Power Company Pvt. Ltd.,Upper Naugad Gad,8000,2073.07.12,2076.07.13
89,Arun Kabeli Power Ltd.,Kabeli B-1,25000,2069.03.29,2076.07.23
90,Rangoon Khola Hydropower Pvt. Ltd.,Jeuligad,996,2071.10.20,2076.08.27
91,Dolti Power Company Pvt. Ltd.,Padam Khola,4800,2074.08.01,2076.09.08
92,Bindhyabasini Hydropower Development Co. (P.) Ltd.,Rudi Khola B,6600,2071.4.20,2076.11.05
93,"Ghalemdi Hydro Limited (Previously, Cemat Power Dev Company (P). Ltd.)",Ghalemdi Khola,5000,2069.12.30,2076.11.05
94,Terhathum Power Company Pvt. Ltd.,Upper Khorunga,7500,2073.07.29,2076.11.17
95,Khimti Gramin Bidhyut Sahakari Sanstha Ltd.,Jhankre Khola Small,600,2075.02.04,2076.11.28
96,Upper Solu Hydroelectric Company Pvt. Ltd,Solu Khola,23500,2070.07.24,2076.12.10 (Transactional Operation Date-TOD)
97,Sagarmatha Jalabidhyut Company Pvt. Ltd.,Super Mai 'A',9600,2074.11.14,2077.02.32
98,Mai Khola Hydropower Pvt. Ltd.,Super Mai Cascade,3800,2074.12.07,2077.03.31
